Cluster size,frequency,foTM
1,0.586986301369863,0.21425
2,0.1863013698630137,0.13599999999999998
3,0.07831050228310503,0.08575
4,0.03949771689497717,0.057666666666666665
5,0.028310502283105023,0.05166666666666667
6,0.014155251141552512,0.031
7,0.010273972602739725,0.026250000000000002
8,0.00821917808219178,0.024
9,0.007534246575342466,0.02475
10,0.004794520547945206,0.0175
11,0.005251141552511416,0.021083333333333332
12,0.0036529680365296802,0.016
13,0.0018264840182648401,0.008666666666666666
14,0.002054794520547945,0.0105
15,0.0009132420091324201,0.005
16,0.0015981735159817352,0.009333333333333332
17,0.001141552511415525,0.007083333333333334
18,0.0006849315068493151,0.0045000000000000005
19,0.0015981735159817352,0.011083333333333334
20,0.0015981735159817352,0.011666666666666667
21,0.0006849315068493151,0.00525
22,0.0013698630136986301,0.011
23,0.0013698630136986301,0.0115
24,0.0006849315068493151,0.006
25,0.0006849315068493151,0.00625
26,0.0006849315068493151,0.0065
27,0.00045662100456621003,0.0045
28,0.00022831050228310502,0.0023333333333333335
29,0.0009132420091324201,0.009666666666666667
30,0.00045662100456621003,0.005
33,0.00022831050228310502,0.00275
34,0.00045662100456621003,0.005666666666666667
36,0.00045662100456621003,0.006
37,0.00045662100456621003,0.006166666666666667
38,0.00022831050228310502,0.0031666666666666666
39,0.0006849315068493151,0.00975
41,0.00022831050228310502,0.003416666666666667
44,0.00022831050228310502,0.0036666666666666666
47,0.0006849315068493151,0.01175
48,0.00022831050228310502,0.004
51,0.00045662100456621003,0.0085
52,0.00022831050228310502,0.004333333333333333
53,0.00045662100456621003,0.008833333333333334
54,0.00022831050228310502,0.0045
58,0.00022831050228310502,0.004833333333333334
59,0.00022831050228310502,0.004916666666666666
71,0.00022831050228310502,0.005916666666666666
74,0.00022831050228310502,0.006166666666666667
75,0.00022831050228310502,0.00625
79,0.00022831050228310502,0.006583333333333333
81,0.00022831050228310502,0.00675
87,0.00022831050228310502,0.00725
92,0.00022831050228310502,0.007666666666666666
93,0.00022831050228310502,0.00775
140,0.00022831050228310502,0.011666666666666667
